(987)
2 (726)
3 (447)
4 (107)
5 (53)
6 (53)
7 (148)
8 (82)
5 6 9 12 (53)
3 5 6 9 (53)
2 5 6 9 (53)
5 6 9 14 (53)
5 6 7 12 (53)
3 5 6 7 (53)
2 5 6 7 (53)
5 6 7 14 (53)
3 5 6 12 (53)
2 5 6 12 (53)
5 6 12 14 (53)
2 3 5 6 (53)
3 5 6 14 (53)
2 5 6 14 (53)
5 8 10 13 (53)
5 8 10 11 (53)
4 5 8 10 (53)
5 8 9 10 (53)
5 7 8 10 (53)
5 8 10 12 (53)
3 5 8 10 (53)
2 5 8 10 (53)
5 8 10 14 (53)
5 10 11 13 (53)
4 5 10 13 (53)
5 9 10 13 (53)
5 7 10 13 (53)
5 10 12 13 (53)
3 5 10 13 (53)
2 5 10 13 (53)
5 10 13 14 (53)
4 5 10 11 (53)
5 9 10 11 (53)
5 7 10 11 (53)
5 10 11 12 (53)
3 5 10 11 (53)
2 5 10 11 (53)
5 10 11 14 (53)
4 5 9 10 (53)
4 5 7 10 (53)
4 5 10 12 (53)
3 4 5 10 (53)
2 4 5 10 (53)
4 5 10 14 (53)
5 7 9 10 (53)
5 9 10 12 (53)
3 5 9 10 (53)
2 5 9 10 (53)
5 9 10 14 (53)
5 7 10 12 (53)
3 5 7 10 (53)
2 5 7 10 (53)
5 7 10 14 (53)
3 5 10 12 (53)
2 5 10 12 (53)
5 10 12 14 (53)
2 3 5 10 (53)
3 5 10 14 (53)
2 5 10 14 (53)
5 8 11 13 (53)
4 5 8 13 (53)
5 8 9 13 (53)
5 7 8 13 (53)
5 8 12 13 (53)
3 5 8 13 (53)
2 5 8 13 (53)
5 8 13 14 (53)
4 5 8 11 (53)
5 8 9 11 (53)
5 7 8 11 (53)
5 8 11 12 (53)
3 5 8 11 (53)
2 5 8 11 (53)
5 8 11 14 (53)
4 5 8 9 (53)
4 5 7 8 (53)
4 5 8 12 (53)
3 4 5 8 (53)
2 4 5 8 (53)
4 5 8 14 (53)
5 7 8 9 (53)
5 8 9 12 (53)
3 5 8 9 (53)
2 5 8 9 (53)
5 8 9 14 (53)
5 7 8 12 (53)
3 5 7 8 (53)
2 5 7 8 (53)
5 7 8 14 (53)
3 5 8 12 (53)
2 5 8 12 (53)
5 8 12 14 (53)
2 3 5 8 (53)
3 5 8 14 (53)
2 5 8 14 (53)
4 5 11 13 (53)
5 9 11 13 (53)
5 7 11 13 (53)
5 11 12 13 (53)
3 5 11 13 (53)
2 5 11 13 (53)
5 11 13 14 (53)
4 5 9 13 (53)
4 5 7 13 (53)
4 5 12 13 (53)
3 4 5 13 (53)
2 4 5 13 (53)
4 5 13 14 (53)
5 7 9 13 (53)
5 9 12 13 (53)
3 5 9 13 (53)
2 5 9 13 (53)
5 9 13 14 (53)
5 7 12 13 (53)
3 5 7 13 (53)
2 5 7 13 (53)
5 7 13 14 (53)
3 5 12 13 (53)
2 5 12 13 (53)
5 12 13 14 (53)
2 3 5 13 (53)
3 5 13 14 (53)
2 5 13 14 (53)
4 5 9 11 (53)
4 5 7 11 (53)
4 5 11 12 (53)
3 4 5 11 (53)
2 4 5 11 (53)
4 5 11 14 (53)
5 7 9 11 (53)
5 9 11 12 (53)
3 5 9 11 (53)
2 5 9 11 (53)
5 9 11 14 (53)
5 7 11 12 (53)
3 5 7 11 (53)
2 5 7 11 (53)
5 7 11 14 (53)
3 5 11 12 (53)
2 5 11 12 (53)
5 11 12 14 (53)
2 3 5 11 (53)
3 5 11 14 (53)
2 5 11 14 (53)
4 5 7 9 (53)
4 5 9 12 (53)
3 4 5 9 (53)
2 4 5 9 (53)
4 5 9 14 (53)
4 5 7 12 (53)
3 4 5 7 (53)
2 4 5 7 (53)
4 5 7 14 (53)
3 4 5 12 (53)
2 4 5 12 (53)
4 5 12 14 (53)
2 3 4 5 (53)
3 4 5 14 (53)
2 4 5 14 (53)
5 7 9 12 (53)
3 5 7 9 (53)
2 5 7 9 (53)
5 7 9 14 (53)
3 5 9 12 (53)
2 5 9 12 (53)
5 9 12 14 (53)
2 3 5 9 (53)
3 5 9 14 (53)
2 5 9 14 (53)
